hour,time_utc,month,source_year,local_hour,ghi,dni,dhi,t2m
4200,2023-06-25T00:00:00Z,6,2023,20,3.70,0.00,5.09,27.04
4201,2023-06-25T01:00:00Z,6,2023,21,0.00,0.00,0.00,26.18
4202,2023-06-25T02:00:00Z,6,2023,22,0.00,0.00,0.00,25.54
4203,2023-06-25T03:00:00Z,6,2023,23,0.00,0.00,0.00,24.97
4204,2023-06-25T04:00:00Z,6,2023,0,0.00,0.00,0.00,24.48
4205,2023-06-25T05:00:00Z,6,2023,1,0.00,0.00,0.00,24.01
4206,2023-06-25T06:00:00Z,6,2023,2,0.00,0.00,0.00,23.55
4207,2023-06-25T07:00:00Z,6,2023,3,0.00,0.00,0.00,23.11
4208,2023-06-25T08:00:00Z,6,2023,4,0.00,0.00,0.00,22.75
4209,2023-06-25T09:00:00Z,6,2023,5,0.00,0.00,0.00,22.57
4210,2023-06-25T10:00:00Z,6,2023,6,5.60,1.60,8.73,22.62
4211,2023-06-25T11:00:00Z,6,2023,7,101.38,90.20,76.55,24.05
4212,2023-06-25T12:00:00Z,6,2023,8,268.17,255.45,158.86,25.28
4213,2023-06-25T13:00:00Z,6,2023,9,471.88,445.55,200.06,26.76
4214,2023-06-25T14:00:00Z,6,2023,10,667.65,602.92,199.82,28.31
4215,2023-06-25T15:00:00Z,6,2023,11,820.08,668.08,212.46,29.70
4216,2023-06-25T16:00:00Z,6,2023,12,877.95,636.14,243.28,30.82
4217,2023-06-25T17:00:00Z,6,2023,13,870.17,506.50,318.22,31.66
4218,2023-06-25T18:00:00Z,6,2023,14,828.12,500.36,314.82,32.18
4219,2023-06-25T19:00:00Z,6,2023,15,728.47,471.89,284.16,32.43
4220,2023-06-25T20:00:00Z,6,2023,16,582.05,431.05,233.05,32.38
4221,2023-06-25T21:00:00Z,6,2023,17,420.60,377.48,192.39,31.76
4222,2023-06-25T22:00:00Z,6,2023,18,238.32,321.82,110.36,31.23
4223,2023-06-25T23:00:00Z,6,2023,19,92.05,173.42,57.07,30.07
4224,2023-06-26T00:00:00Z,6,2023,20,4.43,3.97,6.55,27.55
4225,2023-06-26T01:00:00Z,6,2023,21,0.00,0.00,0.00,26.42
4226,2023-06-26T02:00:00Z,6,2023,22,0.00,0.00,0.00,25.71
4227,2023-06-26T03:00:00Z,6,2023,23,0.00,0.00,0.00,25.07
4228,2023-06-26T04:00:00Z,6,2023,0,0.00,0.00,0.00,24.42
4229,2023-06-26T05:00:00Z,6,2023,1,0.00,0.00,0.00,23.82
4230,2023-06-26T06:00:00Z,6,2023,2,0.00,0.00,0.00,23.25
